CITY,COUNTYNAME,Combined_Key,index,Confirmed,Deaths,Recovered,FIPS,Lat,Long_,log_conf,ZIP
Marlin,Adams County,Washington US,18.0,4.0,0.0,0.0,53001.0,46.98299757,-118.5601734,0.3581018793333796,98832.0
Marlin,Falls County,Texas US,905.0,1.0,0.0,0.0,48145.0,31.25350609,-96.93630086,0.0,76661.0
Marlin,Grant County,Washington US,1092.0,41.5,1.0,0.0,53025.0,47.20753737,-119.4500749,2.6162116417910006,98832.0
Marlin,Lincoln County,Washington US,1683.0,1.0,0.0,0.0,53043.0,47.57705241,-118.4194388,0.0,98832.0
Marlinton,Greenbrier County,West Virginia US,1109.0,0.5,0.0,0.0,54025.0,37.9463652,-80.45335881,0.0,24954.0
Marlow,Cheshire County,New Hampshire US,481.0,2.0,0.0,0.0,33005.0,42.92015988,-72.25311043,0.09061905828945654,3456.0
Marlow,Comanche County,Oklahoma US,618.0,6.0,0.0,0.0,40031.0,34.65973764,-98.47195055,0.6055193684736281,73055.0
Marlow,Grady County,Oklahoma US,1068.0,2.0,0.0,0.0,40051.0,35.0167709,-97.88339847,0.09061905828945654,73055.0
Marlow,Stephens County,Oklahoma US,2696.0,1.5,0.0,0.0,40137.0,34.48556989,-97.85141892,0.04530952914472827,73055.0
Marlton,Burlington County,New Jersey US,318.0,101.5,0.0,0.0,34005.0,39.87681124,-74.66927768,4.01374422576515,8053.0
Marmaduke,Greene County,Arkansas US,1111.0,1.0,0.0,0.0,5055.0,36.11735460000001,-90.55832668,0.0,72443.0
Marmora,Cape May County,New Jersey US,383.0,7.0,0.0,0.0,34009.0,39.15008829,-74.80170244,0.7141906972359384,8223.0
Marne,Kent County,Michigan US,1489.0,49.0,1.0,0.0,26081.0,43.03197711,-85.54934642,2.8531194450954747,49435.0
Marne,Ottawa County,Michigan US,2170.0,22.0,0.0,0.0,26139.0,42.95996803,-85.9969107,1.8012832813759094,49435.0
Marne,Pottawattamie County,Iowa US,2326.0,3.0,0.0,0.0,19155.0,41.33640314,-95.53907776,0.227644691705265,51552.0
Marne,Shelby County,Iowa US,2594.0,0.5,0.0,0.0,19165.0,41.6850066,-95.31015553,0.0,51552.0
Maroa,Macon County,Illinois US,1748.0,0.5,0.0,0.0,17115.0,39.86064913,-88.96342505,0.0,61756.0
Marquette,Clayton County,Iowa US,557.0,1.0,0.0,0.0,19043.0,42.84443388,-91.34133693,0.0,52158.0
