MODZCTA,Positive,Total,zcta_cum.perc_pos,ZIP,LAT,LNG,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Positive_Percentage_of_Population
11221,878,1635,53.7,11221,40.691340000000004,-73.927879,11221,40.69137,-73.9279,Brooklyn,NY,New York,True,,83835,22020.5,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.0472952823999522
11222,330,716,46.09,11222,40.72779,-73.94760500000001,11222,40.72858,-73.94774,Brooklyn,NY,New York,True,,36492,9292.3,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,0.9043077934889839
11223,1236,2341,52.8,11223,40.597139,-73.973428,11223,40.59715,-73.97359,Brooklyn,NY,New York,True,,81789,14659.2,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.5112056633532627
11224,748,1350,55.41,11224,40.577372,-73.98870600000001,11224,40.57665,-73.98873,Brooklyn,NY,New York,True,,46707,11593.1,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.6014730126105294
11225,882,1560,56.54,11225,40.663046,-73.954219,11225,40.66304,-73.95430999999999,Brooklyn,NY,New York,True,,58882,24824.2,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.4979110763900683
11226,1498,2579,58.08,11226,40.646448,-73.956649,11226,40.646390000000004,-73.9568,Brooklyn,NY,New York,True,,100277,30415.4,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.493862002253757
11228,487,972,50.1,11228,40.616695,-74.013047,11228,40.61679,-74.013,Brooklyn,NY,New York,True,,44994,10957.3,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.0823665377605902
11229,1148,2206,52.04,11229,40.601293,-73.94449300000001,11229,40.60082,-73.944,Brooklyn,NY,New York,True,,83615,14307.7,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.3729593972373377
11230,1676,2971,56.41,11230,40.622164,-73.96510500000001,11230,40.62218,-73.96519,Brooklyn,NY,New York,True,,89075,18125.5,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.8815604827392647
11231,319,676,47.19,11231,40.677915999999996,-74.005154,11231,40.677659999999996,-74.0047,Brooklyn,NY,New York,True,,37845,9053.9,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,0.8429118773946359
